Row,init_loss,z_i,kap_i,v_i,p_M_i,E_Hb_i,E_Hp_i,final_loss,z_f,kap_f,v_f,p_M_f,E_Hb_f,E_Hp_f,convergence,n_runs,n_iter,execution_time,error,error_message
Acanthogobius_flavimanus,0.204555159343459,1.6817,0.85197,0.019905,1812.6196,0.08084,10280,0.203530681076482,1.8499402197802,0.852165754872462,0.0215177414318969,1339.58178498647,0.0953830180492349,10199.9192909543,0,3,1500,76.3637546,0,
Aethaloperca_rogaa,0.055837791662955,3.7472,0.94905,0.018107,7.2031,0.04811,287000,0.0554586850610016,3.7568609409667,0.945893190636109,0.0182611443949428,6.85446152812803,0.0524863938972396,311660.115296031,0,2,1000,62.6322578,0,
Alaskozetes_antarcticus,0.73238957675572,0.053159,0.86119,0.079722,352.3821,0.01111,1.1,0.728488584355114,0.0531652034902568,0.860965406536581,0.0798109415948015,352.485245092174,0.0112430557556297,1.10013844672454,1,1,180,23.386287,0,
Amblygobius_bynoensis,0.20466766855447,1.6903,0.9,0.020806,55.385,0.08013,518.8,0.204667658759094,1.69027591814053,0.9,0.0208057009399207,55.3855930526096,0.0801288870861614,518.804344997688,1,1,362,27.0499322,0,
Amblygobius_phalaena,0.0954919015847656,2.4814,0.9,0.02143,32.8194,0.08579,765.3,0.0954918979424799,2.48143639612772,0.9,0.0214303227904402,32.8193944481647,0.0857893008819021,765.301992224954,1,1,391,32.4910044,0,
Anyperodon_leucogrammicus,0.0905949574398985,3.3537,0.9361,0.015855,7.7118,0.05915,118500,0.0676289034558239,3.32828315069956,0.954289194044704,0.0184968856028928,11.6159084840992,0.0397409021067897,94038.1957438627,0,5,2500,124.8207188,0,
Asterropteryx_semipunctata,0.0646959347586338,0.892448176227083,0.9,0.0219754517090977,28.9263217597972,0.126842556506298,71.0316764480254,0.0646959347586237,0.892448145853915,0.9,0.0219754498180629,28.9263240864182,0.126842542410797,71.0316781641616,1,1,324,12.1568182,0,
Brachymystax_lenok,0.0878687138654841,10.2959,0.95172,0.025456,21.5402,0.4292,39800,0.0878676433932851,10.2985806976205,0.951726115461883,0.0254670647007484,21.5144013554833,0.429363181165751,39800.8342012677,0,1,500,13.723227,0,
Caranx_crysos,0.00336492506786674,6.187,0.81503,0.0218,18.2927,0.2608,180600,0.00295295810551349,6.22699259535921,0.812404811043242,0.0218,18.1561132666365,0.265887287643239,195238.563340775,0,2,1000,68.1524457,0,
Caranx_lugubris,0.0335778378539584,12.1358,0.89652,0.0218,10.5353,0.135,196000,0.019564294422069,16.0374835956842,0.894923504476494,0.0218,13.22273189242,0.0954584135482843,164618.605749675,0,4,2000,85.6421595,0,
Caranx_melampygus,1.77584640141817,14.4266,0.87186,0.027414,10.5788,0.1685,287700,0.0953673877907619,13.2777756956328,0.894423474303643,0.027414,13.9846321885894,0.120936719733803,221084.113164436,0,9,4500,213.1837484,0,
Caranx_senegallus,0.0210852573038978,8.1367,0.78853,0.027414,22.888,0.2496,78320,0.0120813007659378,8.16209305128308,0.78629063404619,0.027414,22.7074743558788,0.254937055762339,87514.264878563,0,4,2000,99.2547935,0,
Caranx_tille,0.126648548492032,10.0118,0.7669,0.018024,16.0704,0.2355,329600,0.0184742770951233,9.8906410039321,0.772248445246901,0.0185156663954333,16.3750082195369,0.233700083947094,336229.616111078,0,3,1500,68.2628,0,
Caretta_caretta_MED,2.80840237497772,48.6078,0.73343,0.072137,13.5047,22320,58580000,2.80840237497772,48.6078,0.73343,0.072137,13.5047,22320,58580000,1,1,42,7.9791777,0,
Centropomus_parallelus,0.313780760507927,3.9226,0.89972,0.0029403,13.6911,0.02725,142200,0.250804419070223,3.87141448551819,0.892868570123606,0.00285949560232042,13.858030658295,0.028640305803103,182718.003155148,0,20,10000,508.863667,0,
Centropristis_striata,0.0123157469526808,4.9979,0.85547,0.019644,16.8818,0.1905,44030,0.00201506949428623,4.92181656001885,0.854862765344309,0.0195061893933959,16.8334476408664,0.192731829008032,50953.3967496909,0,2,1000,49.8775496,0,
Cephalopholis_argus,0.106464018170708,6.7496,0.80845,0.014876,5.3192,0.3383,154800,0.104906190232261,6.76269703749439,0.809061378902735,0.014876,5.3192,0.335767351666698,162918.920243354,0,2,1000,61.0644024,0,
Cephalopholis_cruentata,20.9857835319735,3.1997,0.84594,0.019551,7.8154,0.3328,53170,0.0732955974936606,3.22628245306115,0.85268234575335,0.0184910012909943,8.00217862944277,0.303482523440686,57523.0607298755,0,4,2000,89.957109,0,
Cephalopholis_microprion,0.174736063256719,3.3413,0.53045,0.012676,7.4755,0.9063,18880,0.0735324584379586,2.87737577357782,0.591135482727861,0.0200742920221681,17.9077406516323,0.833729200690428,12578.2029953988,0,6,3000,139.9782348,0,
Cephalopholis_miniata,0.270326313891915,8.2277,0.77333,0.012453,3.6633,0.4099,318800,0.176596887103216,9.69398500468188,0.755524625131429,0.012453,3.6633,0.421885778849045,333781.764435465,0,7,3500,208.4266374,0,
Cheilopogon_cyanopterus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54000,0,Maximum execution time exceeded
Chiromantis_rufescens,0.0152610543203912,1.9487,0.79872,0.025808,19.3011,15.74,5339,0.00930471666960079,1.94719812247275,0.769376384109452,0.025808,17.5085064237086,19.4487058515147,5639.2829135812,0,5,2500,104.7861637,0,
Chloroscombrus_chrysurus,4.79908087694791,4.7164,0.97892,0.019057,13.1841,0.03456,1560,0.0786269040257457,4.75507800997928,0.979443370870887,0.0190065164988022,13.3720390130252,0.0330161182539478,1915.85321410732,0,5,2500,102.3501107,0,
Coregonus_muksun,0.0725167107844423,2.7374,0.97623,0.021087,14.9297,0.1681,168700,0.0622265007471053,2.73444207315071,0.973386576260225,0.021087,14.5496715603516,0.193376324103626,240325.943567485,0,4,2000,105.2293552,0,
Corvus_albus,0.126191535193104,3.4123,0.97861,0.044525,985.1684,687.7,12030,0.113041963966994,2.67676814815639,0.979120213766551,0.0330850479578083,2048.84254832312,386.738051640373,6047.36637430143,0,10,5000,335.6141167,0,
Cynoglossus_puncticeps,0.00365980908352421,3.5265,0.97067,0.021433,18.2219,0.008726,5853,0.00318237427240531,3.40881909909599,0.970008429004669,0.021433,18.2271104466113,0.00905730006145669,6251.71674822501,0,2,1000,41.5665491,0,
Decapterus_kurroides,2.88692123586736,4.0796,0.90946,0.024383,151.5458,0.04069,14940,0.0776390999534056,4.1704529740192,0.905022442687466,0.0223366755510675,122.511020580615,0.0442909279126635,16851.2998196827,0,6,3000,126.3838882,0,
Decapterus_macarellus,0.00695103012138751,5.5117,0.92731,0.020581,19.1395,0.09732,34840,0.00632846963461587,5.52999790670739,0.927554855994432,0.0207599042548453,19.1817328525942,0.0971399334676012,36044.8425430339,0,2,1000,55.4266443,0,
Decapterus_punctatus,9.20448493556236,3.2542,0.95664,0.018019,44.198,0.04236,2055,0.0417330671925419,3.33343757614323,0.958432331147009,0.0200461587977615,42.9112490369607,0.0429858651713194,2266.50393435163,0,5,2500,148.6714759,0,
Decapterus_tabl,0.0907123363566067,2.7227,0.97004,0.022011,258.2393,0.0108,41490,0.0377876633665108,3.07669794999061,0.90488899564507,0.0235288683439768,20.6260350684194,0.174983752727589,177580.198656353,0,17,8500,287.0599825,0,
Diplectrum_macropoma,0.030722647105622,3.2315,0.59995,0.021142,21.0076,0.7164,36600,0.0272640515504078,3.23023051898814,0.603807386599755,0.0213848087740616,21.254113627656,0.705900395536305,38343.6959314587,0,2,1000,48.0689996,0,
Diplectrum_pacificum,0.0585099563460515,3.6061,0.79716,0.018685,11.4308,0.3708,53330,0.0560797630575537,3.59483729576214,0.792711942608153,0.0182449962076845,11.6907688593287,0.37677170019186,57764.8987839277,0,2,1000,51.2734294,0,
Elagatis_bipinnulata,0.0261995837936315,2.4696,0.9345,0.012489,21.2319,0.006129,8749,0.00884584538422038,2.59430480716057,0.939755110009525,0.0201647341777825,18.8314975958366,0.0071193848854567,10359.7255767288,1,5,2357,95.5307352,0,
Epidalea_calamita,0.124805754598361,1.9791,0.99244,0.021653,303.7395,0.04576,773.8,0.0992142903205946,2.08304270960269,0.990223339412893,0.021653,227.678891363145,0.0764666030905726,541.125982007166,0,3,1500,53.1370459,0,
Epinephelus_coioides,0.947997769570853,14.6984,0.98424,0.018157,9.1837,0.01432,68190,0.309096988738717,14.8767490151802,0.989321858029734,0.026714583139238,12.7428533463623,0.00983572120438504,49078.7445172277,1,10,4598,321.5943283,0,
Epinephelus_cyanopodus,0.63759117949218,9.207,0.93871,0.0088637,41.4785,0.006669,3516000,0.237286039297654,10.8509434790321,0.930947092725419,0.0133884605796132,21.1832731506919,0.0188722863604875,1428855.15498371,0,7,3500,125.3597487,0,
Epinephelus_drummondhayi,0.213381659510258,15.1941,0.98122,0.021704,15.1989,0.01295,120500,0.0546034356065572,15.3635684508659,0.977951229641611,0.0206589136972382,13.5852500808779,0.0163868628439737,156342.847226641,0,4,2000,13096.9434684,0,
Epinephelus_fuscoguttatus,0.175398172216538,15.4328,0.89643,0.01098,13.0769,0.05122,685600,0.0568461487953667,15.9680172631748,0.920007635331726,0.0143510263033092,14.1338621800953,0.0435981312020317,461567.102975333,0,4,2000,78.5753035,0,
Epinephelus_howlandi,0.0580585677094453,8.1056,0.57208,0.023196,15.6758,0.5615,427300,0.0196673048567444,7.20018075780616,0.612646748190016,0.0214753765745895,19.2140263841742,0.448561232914623,356665.646443334,0,7,3500,208.0008815,0,
Epinephelus_itajara,0.289013202659733,33.1467,0.72968,0.044512,7.8892,0.3092,33480000,0.0767024541226481,34.6646455422506,0.746892776519235,0.0494944426775062,8.3045458905708,0.288790398886118,30733179.9216323,0,4,2000,98.0215426,0,
Epinephelus_labriformis,0.478244629948913,11.9501,0.9905,0.019732,7.1769,0.01155,37030,0.174947461477072,12.5903029986919,0.989589526904863,0.019732,7.1769,0.0123446947457688,37839.9495331906,0,2,1000,11910.5081007,0,
Epinephelus_maculatus,0.0559783593823357,2.4956,0.98752,0.019811,19.7164,0.01018,52250,0.0502476777345075,2.65370331677391,0.991740778552805,0.0212966164046628,21.3003158425354,0.00641891982417921,34718.6815247168,0,3,1500,57.7681256,0,
Epinephelus_malabaricus,0.0080079420267736,16.5618,0.99232,0.021812,17.5774,0.004705,62990,0.00456978878587284,16.5443269543066,0.992307777742895,0.0214697343600919,18.2511076495359,0.00453271997157404,63688.8280738794,0,3,1500,87.7289706,0,
Epinephelus_polyphekadion,0.0638147492677469,4.2778,0.98765,0.019529,17.5819,0.00815,250800,0.0620891603114197,4.3254678858974,0.98765,0.020085068666227,17.7877741484728,0.0082192859576791,286449.439034421,0,5,2500,268.4670217,0,
Epinephelus_quoyanus,0.0588254981249653,2.0773,0.98765,0.022223,26.2055,0.009481,5416,0.0552878024858292,2.07307358736679,0.98765,0.0220475952466809,26.4115497930657,0.00942159417412313,6925.10525956581,0,4,2000,84.4077114,0,
Equulites_elongatus,0.0685792978736844,1.6098,0.95259,0.028761,72.0151,0.03598,219.8,0.0648755213415619,1.62100780070529,0.951479436512363,0.028761,69.5565624363342,0.0372831897000075,242.459789161081,0,3,1500,40.5041928,0,
Equulites_leuciscus,0.0108088231987312,3.8671,0.99066,0.021515,23.6556,0.006829,1077,0.00624523261993984,3.93067122300317,0.98921933511843,0.020769107299362,20.3913336856248,0.00831218130854791,1301.05947855103,0,3,1500,32489.6059614,0,
Equulites_lineolatus,0.0101011427587827,2.6987,0.96133,0.021427,22.5369,0.03454,538.6,0.00592614988546588,1.71997888142451,0.961004139812909,0.021427,19.175525406102,0.0424318666777034,685.719379339477,0,6,3000,89.7106978,0,
Eurycea_longicauda,0.0855185775716716,1.2479,0.72149,0.021842,98.2437,32.57,3155,0.056198239040881,1.43068793938698,0.479894493444551,0.0295290874877739,34.4237578931296,112.953765290913,9447.91470159616,0,5,2500,70.9062723,0,
Flavocaranx_bajad,0.0316909468283243,7.8023,0.88415,0.021995,13.4414,0.1917,105600,0.0129862584001676,8.26047485734872,0.911338055436741,0.019609723263226,17.4485003534518,0.0973422003968648,73296.6772991575,0,6,3000,87.7016832,0,
Gammarus_roeselii,0.849927690810946,0.095821,0.82791,0.013846,398.5945,0.08377,12.65,0.654040602010289,0.0951811723868858,0.830979488114889,0.0137631072773792,399.686586393959,0.0830456177366325,12.8889332714476,1,2,709,118.1360716,0,
Glossogobius_giuris,0.00781366337991933,7.8279,0.92,0.016373,14.3331,0.02786,1217,0.00781365578180605,7.82785264163218,0.92,0.0163725532623498,14.3330769568279,0.0278576346810024,1216.9678586798,1,1,325,8.9625752,0,
Gnathanodon_speciosus,0.0100637051057765,8.885,0.99087,0.024463,19.6684,0.009933,10090,0.00901517396340086,8.79122620806741,0.990762994538107,0.0235794778289986,19.7611175320843,0.00982458973651022,10633.5114660825,1,3,1023,82.9418871,0,
Gobionellus_microdon,0.103317340797476,1.8297,0.92,0.011309,207.3374,0.008521,931,0.0455684755022601,2.99536161504044,0.92,0.0287436944098081,43.0551569979872,0.0356425182185062,1534.76470906868,1,2,999,26.0819738,0,
Gobius_ophiocephalus,0.0302875988518983,5.0069,0.95933,0.025414,25.3317,0.01674,3296,0.0302875883508871,5.00693002061873,0.959332329817357,0.025414,25.331608808224,0.0167401258267096,3295.66949706837,1,1,443,11.6175914,0,
Gobius_vittatus,0.234624360263139,0.61535,0.96447,0.014527,700.6875,0.004245,32.68,0.234596589358558,0.617702958524028,0.964652429694671,0.0146755497617491,696.317518018092,0.00426125943363836,32.68,0,1,500,14.4959754,0,
Harengula_clupeola,0.0811145164990334,3.516,0.35845,0.017444,12.3529,8.395,78280,0.0795873053895895,3.50496185370604,0.363462563581155,0.0171838055245723,12.5567911385479,8.15192909723136,79735.973241766,0,2,1000,63.136517,0,
Hemibarbus_labeo,0.0322768312362279,9.9657,0.95872,0.020875,13.5592,0.04662,28850,0.00834449396343443,10.2784999245345,0.955000881458854,0.020875,15.2429648564744,0.0480168396011181,32574.5372531161,0,4,2000,74.7553943,0,
